Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par région; ; ; ; ; ; 
Code;Libellé;Population légale 2016;École maternelle 2017;École élémentaire 2017;Collège 2017;Lycée 2017
01;Guadeloupe;394110;117;188;49;47
02;Martinique;376480;71;181;53;37
03;Guyane;269352;46;126;37;20
04;La Réunion;852924;159;365;84;58
06;Mayotte;N/A;69;136;21;15
11;Île-de-France;12117132;2883;4037;1203;813
24;Centre-Val de Loire;2577866;608;1591;293;185
27;Bourgogne-Franche-Comté;2818338;846;2132;333;226
28;Normandie;3335929;720;2127;400;275
32;Hauts-de-France;6006870;1465;3840;669;448
44;Grand Est;5555186;1555;3297;609;403
52;Pays de la Loire;3737632;488;2347;429;316
53;Bretagne;3306529;308;2089;394;272
75;Nouvelle-Aquitaine;5935603;1270;3800;649;496
76;Occitanie;5808435;1302;3467;598;438
84;Auvergne-Rhône-Alpes;7916889;1475;4860;848;658
93;Provence-Alpes-Côte d'Azur;5021928;1178;1997;478;380
94;Corse;330455;66;190;31;19
